,beer,score,style,abv,rating,cleaned_review
0,Barrel-Aged Silhouette,99,Stout - Russian Imperial,11%,4.73,"2019 vintage. Have had most of Lift Bridge's offering and found them to be good but not exceptional; Silhouette is the latter. Pours pitch black with some light barely visible at the top edge in my Spiegelau stout glass. Delicious meld of coffee and bourbon on the nose. Flavor profile goes together perfectly, not too much bourbon but the perfect amount IMHO and not too boozy but just right. Nice full body but not too much either. This is fantastic and given the choice of this or some of the better know BA stouts like BCBS, CBS or KBS I've enjoyed, I'd pick this over them."
1,Lou Pepe - Kriek,100,Lambic - Fruit,5%,5.0,"Was surprised to be able to find a 2012 750ml that could be consumed on site at Hill Farmstead. Beer is a murky ruby red in glass with pick 2 finger head. Aroma is a blend of sweet fruits and earthy funkiness that blends really nicely together. Taste is amazing. A perfectly blended mix of all the good things I like in a Belgian Lambic/sour and done better than most any I've had to date. It's only slightly sour, mixed with tartness and sweetness from the fruit, but finishes so clean. No syrupy sweetness on the back of the tongue like you get from some other fruit beers. It was quite the highlight of my Vermont trip to finally get to sample something from Cantillon and if I can't have it at the source in Belgium, then sitting at Hill Farmstead on a 75 degree sunny fall day sure isn't too shabby a venue either."
2,Barrel-Aged Sump Coffee Stout,100,Stout - American Imperial,10.5%,4.49,"2018 vintage. Released 2 months ago. A: Pours a thick black with just a smattering of medium brown head. No lacing and poor retention. S: Thick, sweet, rich dark cocoa, baker’s spice (cinnamon, clove) infused medium-roast coffee, medium-light bourbon and oak, dry wood, and light prunes.  T: Rich cocoa, liquid Hershey’s, moderate and well-integrated medium-roast coffee, light bourbon, lightly sweet, finishing fairly dry with a bit of cola, dry cinnamon stick, and prunes. A beer this rich could use a bit more sweetness to bring out the dessert-y flavors.  M: Thick, mouthcoating medium-full body, with moderate alcohol heat and moderate carbonation.  O: Delicious, dessert-y, and coffee forward with pretty good barrel character. About as good as BA Abraxas."
3,Double Dry Hopped Congress Street,100,IPA - New England,7.2%,4.46,"Pours a hazy murky pale orange or orange with some yellow thrown in to tone it down some. Two finger off white head falls slow and laces well. Aroma is light tropical fruits with more citrus bite then the others from Trillium at least it seems so at this time. Besides the citrus and tropical fruits some pine resin mingled in there some where. This one actually smells like it might have some bitterness to it. Taste is pretty much starts fruity NEIPA style typical pineapple, mango, passion fruits but moves to more regular citrus grapefruit rind bitterness. Finish is what makes this one a little different god the grapefruit rind along with some pine like resin mingled in to add to the bitterness, like the best of both worlds. Mouthfeel is medium nice bready malt base to hold all the hops. Carbonation is little past medium to add a little zing to the beer. Overall say this is the best out of the four 4 packs I picked up at the brewery. Hopefully my ratings will reflect that but who knows what I will like on what day, lol."
4,Great,100,Barleywine - American,14%,4.46,"2015 vintage drank on 7/8/2017 Look was syrupy with decent lacing and very little head. Smell and taste were in point. Nice caramel, toffee, barrel, raisin and a little plum. Pretty creamy for a bw. Overall a pleasure to drink. One of the best in this style and glad I finally got to try this."
5,Fourth Dementia - Bourbon Barrel-Aged,100,Old Ale,13.5%,4.46,"2018 release, tried first on draft but now from a bottle. Just let it warm up, and it will reach its full potential. A bit green and bitter when cold, it releases a whole raft of brown sugar, leather, and vanilla notes as it approaches room temp. Very pleasantly oxidized even when freshly released, with solid grape, tobacco, and lightly acidic notes. A classic old ale, for sure."
6,Swish,100,IPA - New England,8%,4.18,"Traded for this a while ago, even though I have no idea when since there wasn't a date or anything else written on the bottom of the can. I haven't had much from Bissell Brothers but the beers I've been able to sample from then have led me to believe that they can brew a New England IPA as well as anyone and that was certainly the case with this beer. The pour to this was decent as the liquid was golden, murky and topped off with plenty of head. Not a lot of lacing was left behind as I worked my way through this with much of it remaining as the thin head along the top of my pint glass. The strength of this beer, as well as it's potency, lay in it's taste as the tropical, murky,and turbid nose gave a hint of what was to come once I sipped it. Melon,grass, dank hops, and overt overripe tropical fruit in the nose gave me a hint of what was to come as the dry, chalky nature of the aroma gave me a strong hint of what was to come. Tropical fruit, soft juiciness, and soft hops hit my palate from the get-go and lingered throughout my session, as they formed the backbone of this beer. A light carbonation and moderate alcoholic presence allowed the deep and dank notes of this fully emerge on my palate, as this quietly lingered and fully warmed up to my tongue and ultimately to the rest of my senses... This had enough alcohol in it but that was nearly irrelevant to everything else that was going on. Sure, lots of sediment was left at the bottom of my pint glass but that paled in comparison to the impression this left on me once the liquid fully went down. While not among the best New England IPA's or best IPA's that I've had as of late, this served as a textbook example of how wonderful this style could be. If you love brews from this neck of the woods or anything fron Bissell, seek this out. It will be well worth your effort!"
7,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,100,Stout - American Imperial,14%,4.43,Pours black. Brown head. Slightly roasty mocha aroma. Woody and bourbon scents as well. Taste falls right in line with aroma. Silky smooth feel with just the right amount of carbonation.
8,Chemtrailmix,100,Stout - Russian Imperial,15%,4.8,"2019 consumed Dec 31, 2020. Black, small beige head, clings with some lacing. Nose of vanilla, licorice, cinnamon, slight booze. Taste leads with cinnamon, adds molasses, pepper, anise, rye boozy. Body is thick and rich, mild carbonation amplifies the rye."
9,Very Hazy,100,IPA - New England,8.6%,4.35,Growler from the source. Cloudy opaque yellow/orange pour with a big white head. Big tropical fruit bouquet. The tropical fruits smash you in face right out of the gate then give way to bitter piney/resiny hop notes. Plenty of caramel malt backbeats to keep the balance in check. Peach and apricot undercurrents. Really good mouthfeel and body. This is delicious and dangerous at 8.6%....
